method,config,average_prompt_time_sec,speedup_vs_baseline_total,speedup_vs_baseline_avg_prompt,avg_psnr,avg_ssim,avg_lpips,available_dim_count,quality_dim_count,semantic_dim_count,quality_score_all_available_4to1,semantic_score_all_available_4to1,total_score_all_available_4to1,quality_score_8dim_4to1,semantic_score_8dim_4to1,total_score_8dim_4to1,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,aesthetic_quality,imaging_quality,dynamic_degree,object_class,multiple_objects,human_action,color,spatial_relationship,scene,appearance_style,temporal_style,overall_consistency,eval_dir,generation_dir,num_prompts,total_elapsed_sec
DMD,H2S3G0.3,41.208605,2.050825,2.050825,26.488678,0.874685,0.078257,8,6,2,0.827761,0.288698,0.719948,0.827761,0.288698,0.719948,0.963641,0.989035,,0.977036,0.622800,0.682518,0.750000,,,,,,0.000000,,,0.210172,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S3G0.3/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S3G0.3/generated,30,1236.258165
DMD,H2S3G0.4,41.442551,2.039248,2.039248,26.488678,0.874685,0.078257,8,6,2,0.827761,0.288698,0.719948,0.827761,0.288698,0.719948,0.963641,0.989035,,0.977036,0.622800,0.682518,0.750000,,,,,,0.000000,,,0.210172,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S3G0.4/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S3G0.4/generated,30,1243.276525
DMD,H2S4G0.1,38.917416,2.171563,2.171563,24.897166,0.821044,0.126058,8,6,2,0.820269,0.290107,0.714236,0.820269,0.290107,0.714236,0.952734,0.988991,,0.973613,0.613566,0.675123,0.750000,,,,,,0.000000,,,0.211198,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S4G0.1/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S4G0.1/generated,30,1167.522485
DMD,H2S4G0.2,38.728236,2.182171,2.182171,24.897166,0.821044,0.126058,8,6,2,0.820269,0.290107,0.714236,0.820269,0.290107,0.714236,0.952734,0.988991,,0.973613,0.613566,0.675123,0.750000,,,,,,0.000000,,,0.211198,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S4G0.2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S4G0.2/generated,30,1161.847091
Magcache,threshold0.12,43.311238,1.951263,1.951263,25.314936,0.859987,0.083002,8,6,2,0.822340,0.288536,0.715579,0.822340,0.288536,0.715579,0.960573,0.983852,,0.977249,0.607841,0.677543,0.750000,,,,,,0.000000,,,0.210054,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Magcache/20260505_212815/threshold0.12/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Magcache/20260505_212815/threshold0.12/generated,30,1299.337154
Magcache,threshold0.18,40.289135,2.097628,2.097628,25.128880,0.851783,0.090823,8,6,2,0.823253,0.288552,0.716312,0.823253,0.288552,0.716312,0.961186,0.985630,,0.977378,0.608547,0.678289,0.750000,,,,,,0.000000,,,0.210066,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Magcache/20260505_212815/threshold0.18/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Magcache/20260505_212815/threshold0.18/generated,30,1208.674053
Magcache,threshold0.24,39.184083,2.156785,2.156785,25.025507,0.847421,0.094187,8,6,2,0.823254,0.288924,0.716388,0.823254,0.288924,0.716388,0.961261,0.984701,,0.977281,0.610243,0.678103,0.750000,,,,,,0.000000,,,0.210337,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Magcache/20260505_212815/threshold0.24/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Magcache/20260505_212815/threshold0.24/generated,30,1175.522484
Magcache,threshold0.30,38.875712,2.173893,2.173893,24.986747,0.845432,0.096287,8,6,2,0.821052,0.288872,0.714616,0.821052,0.288872,0.714616,0.961022,0.978958,,0.977420,0.606086,0.677728,0.750000,,,,,,0.000000,,,0.210299,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Magcache/20260505_212815/threshold0.30/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Magcache/20260505_212815/threshold0.30/generated,30,1166.271362
Taylorseer,N10O1I2,55.567790,1.520874,1.520874,31.808899,0.951512,0.023454,8,6,2,0.823863,0.284173,0.715925,0.823863,0.284173,0.715925,0.959790,0.980381,,0.978075,0.608768,0.687782,0.750000,,,,,,0.000000,,,0.206878,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I2/generated,30,1667.033699
Taylorseer,N10O1I3,46.048279,1.835283,1.835283,27.990911,0.909069,0.045633,8,6,2,0.825047,0.285330,0.717104,0.825047,0.285330,0.717104,0.958996,0.983892,,0.978000,0.611924,0.687568,0.750000,,,,,,0.000000,,,0.207720,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I3/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I3/generated,30,1381.448382
